Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Track Duration (ms)
Ombak Rindu,"Adira, Hafiz Suip",Dewi Cinta,Adira,4/3/2014,217044
Sahabat,Najwa Latif,Sahabat - Single,Najwa Latif,22/2/2012,188600
Seksis,Anita Sarawak,Seksis,Anita Sarawak,1/1/2004,224280
Farhana (Puteri Bumi Kenyalang),Jinbara,Patah Pusing,Jinbara,22/2/2007,249600
Bila Tiba,Ungu,Ruang Hati,Ungu,9/7/2013,252400
Melompat Lebih Tinggi,Sheila On 7,OST. 30 Hari Mencari Cinta,Sheila On 7,5/12/2003,198133
Noktah Cinta,Hafiz Suip,Hafiz,Hafiz Suip,5/7/2012,296493
Karma,Cokelat,Rasa Baru,Cokelat,28/1/2002,220306
Gemilang,Jaclyn Victor,Gemilang,Jaclyn Victor,13/12/2004,195653
Bila Rindu,Ruffedge,Bila Rindu,Ruffedge,1/1/2004,340706
Awan Nano,Hafiz Suip,Hafiz,Hafiz Suip,5/7/2012,346306
Arjuna,Tomok,Hitman,Various Artists,11/1/2011,222573
Menggegar Dunia,"Dafi, Keena, Marsha",Hotel Mania OST,Marsha,24/2/2010,151071
Dekat Padamu,Yusry,Yusry,Yusry,1/1/2003,225666
Kebahagiaan Dalam Perpisahan,Shahir AF8,AF8 Hits,Various Artists,1/1/2010,239439
Yank,Wali,Cari Jodoh,Wali,20/5/2009,275571
Sonata Musim Salju,Hazami,"The Best Of Malaysia, Vol. 1",Various Artists,16/1/2012,270426
Biarlah Rahsia,Dato' Sri Siti Nurhaliza,Transkripsi,Dato' Sri Siti Nurhaliza,2006,249786
Kalis Rindu,Elyana,Jadi Diriku,Elyana,26/11/2007,211200
Dedebu Cinta,Misha Omar,Aksara,Misha Omar,17/5/2004,260760
Hanyut,Faizal Tahir,Adrenalin,Faizal Tahir,1/3/2009,235160
Selamat Malam,Faizal Tahir,Adrenalin,Faizal Tahir,1/3/2009,244480
Akustatik,Oag,Akustatik,Oag,1/1/2004,256013
11 Januari,Gigi,"Peace, Love And Respect",Gigi,16/5/2007,212026
Mahakarya Cinta,Faizal Tahir,Aku Muzik Kamu,Faizal Tahir,1/1/2007,202506
